Date,Description,Amount
01/07/2026,UPI-SWIGGY ORDER-9832,-486.00
02/07/2026,SALARY CREDIT JULY 2026,85000.00
03/07/2026,UPI-BLINKIT GROCERIES,-1245.50
05/07/2026,RENT TRANSFER-LANDLORD,-22000.00
06/07/2026,NETFLIX SUBSCRIPTION,-649.00
08/07/2026,UPI-UBER RIDE,-238.00
10/07/2026,ELECTRICITY BILL TNEB,-2340.50
12/07/2026,UPI-ZOMATO ORDER-4471,-712.00
14/07/2026,ATM WITHDRAWAL-ANNA NAGAR,-5000.00
15/07/2026,AMAZON PURCHASE-ORDER 118,-3499.00
18/07/2026,UPI-BIGBASKET,-2180.75
20/07/2026,MUTUAL FUND SIP-AXIS,-10000.00
22/07/2026,UPI-PETROL BUNK IOC,-2000.00
25/07/2026,MOBILE RECHARGE JIO,-799.00
27/07/2026,INTEREST CREDIT,342.18
28/07/2026,UPI-SWIGGY ORDER-1129,-534.00
30/07/2026,GYM MEMBERSHIP RENEWAL,-1500.00
